Year	Candidate ID	Candidate	Incumbent/Challenger/Open-Seat	Party	Party Designation	Total Receipts	Authorized Tranfers From	Total Disbursements	Transfers to Authorized	Beginning Cash	Ending Cash	Contrib from Candidate	Loans from Candidate	Other Loans	Candidate Loan Repayments	Other Loan Repayments	Debts Owed By	#$200-$499 Contrib	Total $200-$499	#$500-$749	Total $500-$749	#$750+ Contrib	Total $750+ Contrib	Total Indiv. Contrib	Major Pty Contrib	Party Indep Expend For	Corp. Contributions	Labor Contributions	Non-Connected Cont	T/M/H Contrib	Cooperative Contrib	Corp W/p Stock Cont	Non-Party Exp.	Non-Party Exp. Agn	Indep. Exp For	Indep Exp. Agn	Comm Cost For	Comm Cost Agn	State Code	District	Spec Elec Status	Primary Elec Status	Runoff Elec Status	General Elec Status	General Elec Pct	Spec. Elec. Cand	Party Coordinated Expenditures	Party Independent Expenditures Against
2002	S6AL00153	DAVIS, NATALIE M	C	1	DEM	0	0	0	0	0	0	0	0	0	0	0	11380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	0					0		0	0
2002	S0AL00156	JONES, DOUG	C	1	DEM	161239	0	161237	0	0	0	6970	0	0	0	0	0	53	15450	51	25500	101	100500	149775	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	AL	0					0		0	0
2002	S2AL00061	MCPHILLIPS, JULIAN L JR	C	1	DEM	2297836	0	2852945	0	1005	0	60758	1625400	0	300750	0	1024650	204	49044	155	77600	215	213300	596130	0	0	0	500	500	0	0	0	0	0	0	0	0	0	AL	0		R	L		0		0	0
2002	S2AL00079	PARKER, SUSAN D	C	1	DEM	1191848	0	1185718	0	0	6127	1000	175000	10000	175000	10000	0	520	133213	275	139733	323	320244	780628	21500	0	9250	116400	40275	21786	0	500	1002	0	22	0	1065	0	AL	0		W	W	L	40		0	0
2002	S2AL00087	SOWELL, WAYNE	C	1	DEM	4677	0	4800	0	0	77	650	4000	0	200	0	0	0	0	1	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	0		L			0		0	0
2002	S6AL00195	SESSIONS, JEFFERSON B	I	2	REP	4667726	0	5115730	0	1129275	681271	0	0	0	0	0	0	1098	264839	940	473782	2084	2062923	3284979	82015	0	497961	9000	193600	340489	7500	11000	0	0	0	2	3634	0	AL	0		W		W	58		0	0
2002	S2AL00095	ALLAN, JEFF	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	0					0		0	0
2002	S2AL00103	ALLEN, JEFF	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	0					0		0	0
2002	S0AL00149	SWANSON, JOHNNY III	C	3	IND	93552	0	98092	0	0	11	86273	4078	257	4078	257	0	3	900	0	0	0	0	4567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	0					0		0	0
2002	H2AL01119	BELK, JUDY MCCAIN	O	1	DEM	458239	0	471233	0	0	131	0	344315	0	5000	0	1700	31	8805	30	15100	15	14921	56355	5000	0	0	16000	3000	23500	0	500	623	0	0	0	87	0	AL	1		R	W	L	37		406	0
2002	H2AL01127	CHAMBERLAIN, DONALD	O	1	DEM	1175	0	1000	0	0	175	100	0	0	0	0	0	1	200	1	550	0	0	1075	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	AL	1		L			0		0	0
2002	H2AL01150	FOSTER, J. DON	O	1	DEM	139607	0	134343	0	0	5264	0	25341	0	1341	0	24000	57	9450	46	23000	77	77000	112879	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	AL	1		R	L		0		0	0
2002	H2AL01101	GORDON, JAMES OLIVER	O	1	DEM	3800	0	4525	0	0	0	9673	3000	0	0	0	3000	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	1		L			0		0	0
2002	H2AL01135	JORDAN, JOE BUZZ	O	1	DEM	16339	0	15412	0	0	725	0	11300	0	0	0	11300	1	300	3	1500	1	1000	5039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	1					0		0	0
2002	H2AL01077	BONNER, JOSIAH ROBIAS	O	2	REP	1726096	0	1713019	0	0	13076	0	150000	0	100000	0	50000	632	118848	432	217055	613	612225	1054899	4500	0	190500	5500	76816	200347	1000	2500	250	0	0	0	476	0	AL	1		R	W	W	60		70050	0
2002	H2AL01093	GLOVER, BENJAMIN N RUSTY III	O	2	REP	32747	0	32741	0	0	5	6054	3000	0	1872	0	1365	15	4010	8	4218	3	3000	23393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	1		L			0		0	0
2002	H2AL01168	GOTTLER, JOE J.	O	2	REP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	1		L			0		0	0
2002	H2AL00012	LIPSCOMB, ALBERT	O	2	REP	34476	0	34028	0	0	446	0	19650	0	0	0	18000	6	1400	9	4500	2	4000	14826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	1		L			0		0	0
2002	H2AL01085	PRINGLE, CHRIS	O	2	REP	327240	0	318896	0	0	8340	0	150000	0	10000	0	140000	105	27025	60	30000	81	79850	170226	0	0	1750	0	0	0	0	0	0	0	0	0	0	0	AL	1		L			0		0	0
2002	H2AL01069	WHETSTONE, JOHN DAVID	O	2	REP	156311	0	146615	0	0	9694	2051	49000	0	0	25000	24000	38	10425	47	23725	56	55000	103695	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	AL	1		L			0		0	0
2002	H2AL01051	YOUNG, TOM	O	2	REP	1864286	0	2186238	0	0	3931	0	96000	0	25000	0	68000	349	86695	394	197000	1223	1219099	1276503	0	0	134450	8500	96500	64000	1000	1500	0	0	0	0	0	0	AL	1		R	L		0		0	0
2002	H0AL01022	COFFEE, DICK	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	1				L	1		0	0
2002	H0AL02061	WOODS, CHARLES	C	1	DEM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	2		W		L	29		0	0
2002	H2AL02067	EVERETT, TERRY	I	2	REP	1071154	0	847208	0	9477	217317	0	0	558946	0	558796	229523	162	39650	111	55586	85	84500	237069	0	0	111419	2500	15200	103675	10500	1000	0	0	0	2	409	0	AL	2		W		W	68		0	0
2002	H2AL02117	ADAMS, LYN CURTIS	C	3	LIB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	2					0		0	0
2002	H2AL02133	SHACKELFORD, FLOYD	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	AL	2				L	1		0	0
2002	H2AL03073	BURNETT, WILLIE	O	1	DEM	9000	0	9000	0	0	900	0	9000	0	875	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	3		L			0		0	0
2002	H2AL03040	GHEE, MARSHALL DOUGLAS	O	1	DEM	39400	0	31514	0	0	7736	3000	0	0	0	0	0	8	2000	6	3000	24	24000	36345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	3					0		0	0
2002	H8AL03039	TURNHAM, JOSEPH R	O	1	DEM	998734	0	993789	0	322	3206	2600	85600	148397	102350	54315	152316	191	49051	158	79517	210	208536	421352	11000	0	4000	181250	74365	36775	0	2500	21793	0	19644	0	26091	0	AL	3		W		L	48		27274	0
2002	H6AL03082	WILLIS, GERALD	O	1	DEM	479086	0	479085	0	0	0	2149	424884	0	14884	0	0	20	5425	27	13725	8	8000	35553	0	0	7000	3500	0	5250	0	0	0	0	0	0	0	0	AL	3		L			0		0	0
2002	H2AL03057	DIAL, JASON	O	2	REP	26750	0	18680	0	0	8068	2100	0	0	0	0	0	9	2190	5	2500	13	13000	20650	0	0	4000	0	0	0	0	0	0	0	0	0	0	0	AL	3		L			0		0	0
2002	H2AL03065	FINK, JEFFREY JOHN	O	2	REP	83270	0	83267	0	0	0	0	43000	0	25307	0	17692	21	5350	9	4500	21	20750	38770	0	0	1500	0	0	5000	0	0	0	0	0	0	0	0	AL	3		L			0		0	0
2002	H2AL03032	ROGERS, MICHAEL DENNIS	O	2	REP	1656290	0	1638145	0	0	18145	5000	120000	0	102200	0	17812	690	170756	415	209043	482	477910	634926	89746	7557	242550	1000	230870	212900	3000	6500	10398	0	0	0	12586	0	AL	3		W		W	50		71000	0
2002	H2AL03081	CRISPIN, GEORGE	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	3				L	1		0	0
2002	H6AL04106	WILSON, ROBERT T (BOB) JR	C	1	DEM	0	0	0	0	2161	0	0	0	0	0	0	459233	0	0	0	0	0	0	0	0	0	0	0	1000	1000	0	0	0	0	0	0	0	0	AL	4					0		0	0
2002	H6AL04098	ADERHOLT, ROBERT BROWN	I	2	REP	712483	0	662595	0	105079	154963	0	0	75000	175000	0	0	155	37513	91	45925	201	202498	352550	0	0	152302	7500	18600	89883	1000	7500	0	0	0	2	372	0	AL	4		W		W	86		0	0
2002	H2AL04030	MCLENDON, TONY HUGHES	C	3	LBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL	4				L	12		0	0
2002	H0AL05049	CRAMER, ROBERT E ""BUD"" JR	I	1	DEM	998364	0	688035	0	802903	1087490	0	0	0	0	0	0	534	131436	141	71750	297	295170	525602	5000	0	236744	58000	42878	134390	4000	5000	1333	0	0	0	2088	0	AL	5		W		W	73		372	0
