zip	lat	lon	code	city	state	county
00210	+43.005895	-071.013202	U	PORTSMOUTH	33	015
00211	+43.005895	-071.013202	U	PORTSMOUTH	33	015
00212	+43.005895	-071.013202	U	PORTSMOUTH	33	015
00213	+43.005895	-071.013202	U	PORTSMOUTH	33	015
00214	+43.005895	-071.013202	U	PORTSMOUTH	33	015
00215	+43.005895	-071.013202	U	PORTSMOUTH	33	015
00501	+40.922326	-072.637078	U	HOLTSVILLE	36	103
00544	+40.922326	-072.637078	U	HOLTSVILLE	36	103
00601	+18.165273	-066.722583		ADJUNTAS	72	001
00602	+18.393103	-067.180953		AGUADA	72	003
00603	+18.455913	-067.145780		AGUADILLA	72	005
00604	+18.493520	-067.135883		AGUADILLA	72	005
00605	+18.465162	-067.141486	P	AGUADILLA	72	005
00606	+18.172947	-066.944111		MARICAO	72	093
00610	+18.288685	-067.139696		ANASCO	72	011
00611	+18.279531	-066.802170	P	ANGELES	72	141
00612	+18.450674	-066.698262		ARECIBO	72	013
00613	+18.458093	-066.732732	P	ARECIBO	72	013
00614	+18.429675	-066.674506	P	ARECIBO	72	013
00616	+18.444792	-066.640678		BAJADERO	72	013
00617	+18.447092	-066.544255		BARCELONETA	72	017
00622	+17.998531	-067.187318		BOQUERON	72	023
00623	+18.062201	-067.149541		CABO ROJO	72	023
00624	+18.023535	-066.726156		PENUELAS	72	111
00627	+18.477891	-066.854770		CAMUY	72	027
00631	+18.269187	-066.864993	P	CASTANER	72	081
00636	+18.113284	-067.039706	P	ROSARIO	72	125
00637	+18.087322	-066.934911		SABANA GRANDE	72	121
00638	+18.336160	-066.472087		CIALES	72	039
00641	+18.250027	-066.698957		UTUADO	72	141
00646	+18.436060	-066.281954		DORADO	72	051
00647	+17.969594	-066.939754		ENSENADA	72	055
00650	+18.360125	-066.562311		FLORIDA	72	054
00652	+18.457254	-066.603358		GARROCHALES	72	013
00653	+17.972468	-066.898661		GUANICA	72	055
00656	+18.023280	-066.786909		GUAYANILLA	72	059
00659	+18.481391	-066.808696		HATILLO	72	065
00660	+18.145486	-067.135323		HORMIGUEROS	72	067
00662	+18.480285	-067.028155		ISABELA	72	071
00664	+18.217606	-066.598306		JAYUYA	72	073
00667	+18.015099	-067.055973		LAJAS	72	079
00669	+18.295952	-066.881925		LARES	72	081
00670	+18.252135	-066.990967		LAS MARIAS	72	083
00674	+18.445530	-066.490268		MANATI	72	091
00676	+18.383727	-067.080799		MOCA	72	099
00677	+18.335781	-067.252547		RINCON	72	117
00678	+18.453030	-066.933689		QUEBRADILLAS	72	115
00680	+18.219023	-067.508068		MAYAGUEZ	72	097
00681	+18.219023	-067.508068	P	MAYAGUEZ	72	097
00682	+18.219023	-067.508068		MAYAGUEZ	72	097
00683	+18.113284	-067.039706		SAN GERMAN	72	125
00685	+18.323600	-066.972227		SAN SEBASTIAN	72	131
00687	+18.316976	-066.415207		MOROVIS	72	101
00688	+18.429675	-066.674506		SABANA HOYOS	72	013
00690	+18.476196	-067.139597		SAN ANTONIO	72	005
00692	+18.435818	-066.338523		VEGA ALTA	72	143
00693	+18.443109	-066.398302		VEGA BAJA	72	145
